Scientific Name	Taxon	Trait	r	SampleSize	Source
Pelobates cultripes	Amphibian	size	0.18	10	Lizana et al 1994
Phanaeus difformis	Insect	size	0.3605	42	Rasmussen 1994
Phanaeus difformis	Insect	size	0.17321	138	Rasmussen 1994
Phascolarctos cinereus	Mammal	size	0.009	30	Ellis and Bercovitch 2011
Phidippus clarus	Chelicerate	size	0.5422176685	39	Hoefler et al. 2007
Phyllobius maculicornis	Insect	size	-0.08	72	Larsson 1988
Phyllomedusa rohdei	Amphibian	size	-0.08	48	Wogel et al. 2005
Phyllomedusa rohdei	Amphibian	size	0.05	31	Wogel et al. 2005
Phymata americana	Insect	size	0.208	79	Punzalan et al. 2008
Phymata americana	Insect	size	0.0715	79	Punzalan et al. 2008
Phymata americana	Insect	size	0.262	18	Punzalan et al. 2008
Phymata fasciata	Insect	size	0.57	12	Dodson and Marshall 1984
Phymata fasciata	Insect	size	0.52	12	Dodson and Marshall 1984
Phymata fasciata	Insect	size	0.22	8	Dodson and Marshall 1984
Phymata fasciata	Insect	size	0.23	14	Dodson and Marshall 1984
Phymata wolffii	Insect	size	0.1	17	McLain and Boromisa 1987b
Phymata wolffii	Insect	size	0.1	13	McLain and Boromisa 1987b
Physalaemus enesefae	Amphibian	size	0.22	100	Tarano and Herrera 2003
Physalaemus pustulosus	Amphibian	size	-0.1	65	Ryan 1983
Plecia nearctica	Insect	size	0.36	140	Hieber and Cohen 1983
Plecia nearctica	Insect	size	0.22	20	Thornhill 1980
Plecia nearctica	Insect	size	0.35	20	Thornhill 1980
Pomatoschistus minutus	Fish	size	0.342	15	Lindstrom 1992
Pontonia mexicana	Crustacean	size	0.36	82	Baezaa et al. 2011
Pterapogon kauderni	Fish	size	0.77	24	Kolm 2002
Pygoscelis adeliae	Bird	size	0.034	18	Beaulieu et al. 2009
Rana chensinensis	Amphibian	size	0.73	34	Lu et al. 2009
Rana chensinensis	Amphibian	size	0.44	283	Lu et al. 2009
Rana chensinensis	Amphibian	size	0.56	52	Lu et al. 2009
Rana chensinensis	Amphibian	size	0.26	84	Lu et al. 2009
Rana chensinensis	Amphibian	size	0.39	174	Lu et al. 2009
Rana chensinensis	Amphibian	size	0.5	48	Lu et el. 2010
Rana dalmatina	Amphibian	size	-0.218	32	Hettyey et al. 2005
Rana dalmatina	Amphibian	size	0.071	17	Hettyey et al. 2005
Rana dalmatina	Amphibian	size	-0.257	16	Hettyey et al. 2005
Rana sylvatica	Amphibian	size	0.18	24	Berven 1981
Rana sylvatica	Amphibian	size	0.34	16	Berven 1981
Rana sylvatica	Amphibian	size	0.21	22	Berven 1981
Rana sylvatica	Amphibian	size	0.17	34	Berven 1981
Rana sylvatica	Amphibian	size	0.46	21	Berven 1981
Rana sylvatica	Amphibian	size	0.06	23	Berven 1981
Rana sylvatica	Amphibian	size	0.4	99	Berven 1981
Rana sylvatica	Amphibian	size	0.22	83	Berven 1981
Rana sylvatica	Amphibian	size	0.28	38	Berven 1981
Rana sylvatica	Amphibian	size	0.09	35	Howard 1980
Rana temporaria	Amphibian	size	0.143	10	Elmberg 1991
Rana temporaria	Amphibian	size	0.336	10	Elmberg 1991
Rana temporaria	Amphibian	size	-0.123	10	Elmberg 1991
Rana temporaria	Amphibian	size	0.072	7	Elmberg 1991
Rana temporaria	Amphibian	size	-0.432	7	Elmberg 1991
Rana temporaria	Amphibian	size	-0.3	5	Elmberg 1991
Rana temporaria	Amphibian	size	-0.003	10	Elmberg 1991
Rana temporaria	Amphibian	size	0.123	10	Elmberg 1991
Rana temporaria	Amphibian	size	-0.404	8	Elmberg 1991
Rana temporaria	Amphibian	size	-0.427	7	Elmberg 1991
Rana temporaria	Amphibian	size	0.838	6	Elmberg 1991
Rana temporaria	Amphibian	size	-0.235	6	Elmberg 1991
Rana temporaria	Amphibian	size	-0.385	8	Elmberg 1991
Rana temporaria	Amphibian	size	-0.172	10	Elmberg 1991
Rana temporaria	Amphibian	size	0.075	7	Elmberg 1991
Rana temporaria	Amphibian	size	0.377	6	Elmberg 1991
Rana temporaria	Amphibian	size	0.49	48	Vieites et al. 2004
Rissa tridactyla	Bird	size	0.28	18	Helfenstein et al. 2004
Salvelinus confluentus	Fish	size	0.37	64	Baxter 1997
Salvelinus leucomaenis	Fish	size	0.636	20	Maekawa et al. 1994
Salvelinus leucomaenis	Fish	size	0.765	11	Maekawa et al. 1994
Scaphiopus bombifrons	Amphibian	size	0.269	10	Woodward 1982
Scaphiopus couchi	Amphibian	size	0.286	28	Woodward 1982
Scaphiopus couchi	Amphibian	size	0.143	19	Woodward 1982
Scaphiopus couchi	Amphibian	size	0.2	13	Woodward 1982
Scaphiopus multiplicatus	Amphibian	size	0.526	9	Woodward 1982
Scatophaga stercoraria	Insect	size	0.013	78	Otronen 1993
Scatophaga stercoraria	Insect	size	0.144	163	Otronen 1993
Scatophaga stercoraria	Insect	size	0.171	226	Otronen 1993
Scatophaga stercoraria	Insect	size	0.252	170	Otronen 1993
Scinax centralis	Amphibian	size	0.549	11	Alcantara et al. 2007
Scinax centralis	Amphibian	size	0.07	11	Alcantara et al. 2007
Serranus tortugarum	Fish	size	0.74	87	Petersen and Fischer 1996
Siphonaria capensis	Gastropod	size	0.75	17	Pal et al. 2006
Siphonaria capensis	Gastropod	size	0.79	15	Pal et al. 2006
Siphonaria capensis	Gastropod	size	0.77	32	Pal et al. 2006
Speotyto cunicularia	Bird	size	0.32	27	Plumpton and Lutz 1994
Spheniscus magellanicus	Bird	size	0.18	100	Forero et al. 2001
Stercorarius parasiticus	Bird	size	0.28	67	Catry et al. 1999
Stercorarius skua lonnbergi	Bird	size	-0.01	98	Phillips et al. 2002
Sterna hirundo	Bird	size	-0.046	26	Apanius and Nisbet 2006
Sterna hirundo	Bird	size	0.151	28	Nisbet et al. 2007
Sturnus vulgaris	Bird	size	0.263	89	Komdeur et al. 2005
Tachycineta bicolor	Bird	size	0.19	38	Wiggins 1990
Taricha granulosa	Amphibian	size	-0.16	23	Janzen and Brodie 1989
Taricha granulosa	Amphibian	size	-0.06	23	Janzen and Brodie 1989
Tegrodera aloga	Insect	size	0.04	121	Snead and Alcock 1985
Tegrodera erosa	Crustacean	size	0.325	27	Pinto and Mayor 1986
Tetraopes tetrophthalmus	Insect	size	0.46	271	Mclain and Boromisa 1987a
Tetraopes tetrophthalmus	Insect	size	0.08	65	Mclain and Boromisa 1987a
Thamnophis sirtalis parietalis	Reptile	size	0.06	21	Shine et al. 2004
Thamnophis sirtalis parietalis	Reptile	size	0.3	109	Shine et al. 2001
Thermosphaeroma thermophilum	Crustacean	size	0.709	54	Shuster 1981
Timarcha maritima	Insect	size	0.04	182	Thomas et al. 1999
Trapezia ferruginea	Crustacean	size	0.54	23	Adams et al. 1985a
Trapezia ferruginea	Crustacean	size	0.57	23	Adams et al. 1985a
Triprion petasatus	Amphibian	size	0.55	16	Lee and Crump 1981
Trirhabda canadensis	Insect	size	0.25	71	Brown 1993
Uca capricornis	Crustacean	size	0.511	531	Detto and Backwell 2009
Uca pugilator	Crustacean	size	0.39	85	Christy 1983
Uca rapax	Crustacean	size	0.65	11	Greenspan 1980
Uperoleia rugosa	Amphibian	size	0.97	15	Robertson 1986
Uperoleia rugosa	Amphibian	size	0.97	15	Robertson 1986
Uperoleia rugosa	Amphibian	size	0.84	42	Robertson 1986
Valenciennea muralis	Fish	size	0.83	17	Pratchett 2006
Valenciennea strigata 	Fish	size	0.77	15	Pratchett 2006
Zebrasoma scopas	Fish	size	0.64	13	Robertson 1985
Zebrasoma scopas	Fish	size	0.6	12	Robertson 1985

