biweek,year,loc,cases,pop
2,1944,DULUTH,13,103923.051
3,1944,DULUTH,27,103964.1239
4,1944,DULUTH,36,104005.4886
5,1944,DULUTH,28,104047.1458
6,1944,DULUTH,34,104089.0965
7,1944,DULUTH,70,104131.3415
8,1944,DULUTH,134,104173.8817
9,1944,DULUTH,210,104216.7178
10,1944,DULUTH,NA,104259.8508
11,1944,DULUTH,288,104303.2815
12,1944,DULUTH,251,104347.0108
13,1944,DULUTH,122,104391.0394
14,1944,DULUTH,69,104435.3683
15,1944,DULUTH,31,104479.9984
16,1944,DULUTH,6,104524.9303
17,1944,DULUTH,0,104570.1651
18,1944,DULUTH,1,104615.7036
19,1944,DULUTH,0,104661.5466
20,1944,DULUTH,1,104707.6949
21,1944,DULUTH,0,104754.1494
22,1944,DULUTH,1,104800.9111
23,1944,DULUTH,1,104847.9806
24,1944,DULUTH,0,104895.3589
25,1944,DULUTH,1,104943.0468
26,1944,DULUTH,0,104991.0452
1,1945,DULUTH,0,105039.3549
2,1945,DULUTH,0,105087.9768
3,1945,DULUTH,1,105136.9117
4,1945,DULUTH,1,105186.1605
5,1945,DULUTH,1,105235.724
6,1945,DULUTH,0,105285.6031
7,1945,DULUTH,1,105335.7986
8,1945,DULUTH,2,105386.3114
9,1945,DULUTH,1,105437.1424
10,1945,DULUTH,0,105488.2923
11,1945,DULUTH,0,105539.7621
12,1945,DULUTH,0,105591.5525
13,1945,DULUTH,1,105643.6645
14,1945,DULUTH,4,105696.0989
15,1945,DULUTH,1,105748.8565
16,1945,DULUTH,2,105801.9382
17,1945,DULUTH,2,105855.3448
18,1945,DULUTH,1,105909.0772
19,1945,DULUTH,1,105963.1363
20,1945,DULUTH,0,106017.5229
21,1945,DULUTH,0,106072.2378
22,1945,DULUTH,0,106127.2819
23,1945,DULUTH,0,106182.6561
24,1945,DULUTH,NA,106238.3612
25,1945,DULUTH,NA,106294.398
26,1945,DULUTH,NA,106350.7674
1,1946,DULUTH,NA,106407.4703
2,1946,DULUTH,2,106464.5075
3,1946,DULUTH,5,106521.8798
4,1946,DULUTH,7,106579.5882
5,1946,DULUTH,10,106637.6334
6,1946,DULUTH,17,106696.0163
7,1946,DULUTH,13,106754.7378
8,1946,DULUTH,14,106813.7987
9,1946,DULUTH,14,106873.1998
10,1946,DULUTH,23,106932.9421
11,1946,DULUTH,29,106993.0263
12,1946,DULUTH,23,107053.4534
13,1946,DULUTH,6,107114.2241
14,1946,DULUTH,8,107175.3393
15,1946,DULUTH,2,107236.7999
16,1946,DULUTH,NA,107298.6068
17,1946,DULUTH,2,107360.7607
18,1946,DULUTH,NA,107423.2625
19,1946,DULUTH,2,107486.1131
20,1946,DULUTH,NA,107549.3134
21,1946,DULUTH,2,107612.8641
22,1946,DULUTH,NA,107676.7661
23,1946,DULUTH,NA,107741.0204
24,1946,DULUTH,2,107805.6276
25,1946,DULUTH,NA,107870.5888
26,1946,DULUTH,NA,107935.9047
1,1947,DULUTH,NA,108001.5761
2,1947,DULUTH,2,108067.604
3,1947,DULUTH,NA,108133.9892
4,1947,DULUTH,NA,108200.7325
5,1947,DULUTH,2,108267.8349
6,1947,DULUTH,NA,108335.297
7,1947,DULUTH,2,108403.1199
8,1947,DULUTH,NA,108471.3043
9,1947,DULUTH,2,108539.8511
10,1947,DULUTH,NA,108608.7611
11,1947,DULUTH,2,108678.0353
12,1947,DULUTH,2,108747.6743
13,1947,DULUTH,3,108817.6792
14,1947,DULUTH,NA,108888.0508
15,1947,DULUTH,6,108958.7898
16,1947,DULUTH,4,109029.8972
17,1947,DULUTH,4,109101.3738
18,1947,DULUTH,7,109173.2205
19,1947,DULUTH,6,109245.4381
20,1947,DULUTH,8,109318.0274
21,1947,DULUTH,12,109390.9893
22,1947,DULUTH,3,109464.3247
23,1947,DULUTH,4,109538.0344
24,1947,DULUTH,7,109612.1193
25,1947,DULUTH,9,109686.5802
26,1947,DULUTH,2,109761.418
1,1948,DULUTH,3,109836.6334
2,1948,DULUTH,6,109912.2275
3,1948,DULUTH,2,109988.2009
4,1948,DULUTH,11,110064.5547
5,1948,DULUTH,127,110141.2895
6,1948,DULUTH,185,110218.4064
7,1948,DULUTH,475,110295.906
8,1948,DULUTH,762,110373.7893
9,1948,DULUTH,700,110452.0572
10,1948,DULUTH,495,110530.7104
11,1948,DULUTH,160,110609.7499
12,1948,DULUTH,89,110689.1764
13,1948,DULUTH,30,110768.9909
14,1948,DULUTH,NA,110849.1942
15,1948,DULUTH,NA,110929.7871
16,1948,DULUTH,NA,111010.7705
17,1948,DULUTH,NA,111092.1452
18,1948,DULUTH,NA,111173.9121
19,1948,DULUTH,NA,111256.072
20,1948,DULUTH,NA,111338.6259
21,1948,DULUTH,NA,111421.5745
22,1948,DULUTH,NA,111504.9186
23,1948,DULUTH,NA,111588.6593
24,1948,DULUTH,NA,111672.7972
25,1948,DULUTH,NA,111757.3332
26,1948,DULUTH,NA,111842.2683
1,1906,FALL RIVER,NA,115628.2731
2,1906,FALL RIVER,NA,115674.8288
3,1906,FALL RIVER,NA,115721.139
4,1906,FALL RIVER,NA,115767.2044
5,1906,FALL RIVER,NA,115813.0258
6,1906,FALL RIVER,NA,115858.604
7,1906,FALL RIVER,NA,115903.9398
8,1906,FALL RIVER,NA,115949.0338
9,1906,FALL RIVER,NA,115993.8869
10,1906,FALL RIVER,NA,116038.4999
11,1906,FALL RIVER,NA,116082.8735
12,1906,FALL RIVER,NA,116127.0085
13,1906,FALL RIVER,NA,116170.9057
14,1906,FALL RIVER,NA,116214.5658
15,1906,FALL RIVER,NA,116257.9896
16,1906,FALL RIVER,NA,116301.1778
17,1906,FALL RIVER,NA,116344.1313
18,1906,FALL RIVER,NA,116386.8507
19,1906,FALL RIVER,NA,116429.337
20,1906,FALL RIVER,NA,116471.5908
21,1906,FALL RIVER,NA,116513.6129
22,1906,FALL RIVER,NA,116555.404
23,1906,FALL RIVER,NA,116596.965
24,1906,FALL RIVER,NA,116638.2966
25,1906,FALL RIVER,2,116679.3997
26,1906,FALL RIVER,2,116720.2748
1,1907,FALL RIVER,NA,116760.9229
2,1907,FALL RIVER,NA,116801.3446
3,1907,FALL RIVER,NA,116841.5409
4,1907,FALL RIVER,NA,116881.5123
5,1907,FALL RIVER,2,116921.2598
6,1907,FALL RIVER,4,116960.784
7,1907,FALL RIVER,NA,117000.0857
8,1907,FALL RIVER,NA,117039.1657
9,1907,FALL RIVER,NA,117078.0249
10,1907,FALL RIVER,2,117116.6638
11,1907,FALL RIVER,NA,117155.0834
12,1907,FALL RIVER,2,117193.2843
13,1907,FALL RIVER,NA,117231.2674
14,1907,FALL RIVER,2,117269.0334
15,1907,FALL RIVER,2,117306.583
16,1907,FALL RIVER,2,117343.9171
17,1907,FALL RIVER,NA,117381.0365
18,1907,FALL RIVER,2,117417.9418
19,1907,FALL RIVER,NA,117454.6339
20,1907,FALL RIVER,3,117491.1135
21,1907,FALL RIVER,2,117527.3814
22,1907,FALL RIVER,NA,117563.4384
23,1907,FALL RIVER,2,117599.2852
24,1907,FALL RIVER,25,117634.9226
25,1907,FALL RIVER,71,117670.3514
26,1907,FALL RIVER,60,117705.5723
1,1908,FALL RIVER,65,117740.5861
2,1908,FALL RIVER,71,117775.3937
3,1908,FALL RIVER,58,117809.9956
4,1908,FALL RIVER,86,117844.3928
5,1908,FALL RIVER,71,117878.5859
6,1908,FALL RIVER,108,117912.5758
7,1908,FALL RIVER,59,117946.3632
8,1908,FALL RIVER,48,117979.9489
9,1908,FALL RIVER,8,118013.3337
10,1908,FALL RIVER,6,118046.5183
11,1908,FALL RIVER,17,118079.5034
12,1908,FALL RIVER,17,118112.29
13,1908,FALL RIVER,9,118144.8787
14,1908,FALL RIVER,9,118177.2702
15,1908,FALL RIVER,2,118209.4655
16,1908,FALL RIVER,5,118241.4652
17,1908,FALL RIVER,NA,118273.2701
18,1908,FALL RIVER,NA,118304.881
19,1908,FALL RIVER,NA,118336.2986
20,1908,FALL RIVER,2,118367.5237
21,1908,FALL RIVER,6,118398.5571
22,1908,FALL RIVER,NA,118429.3996
23,1908,FALL RIVER,6,118460.0519
24,1908,FALL RIVER,4,118490.5148
25,1908,FALL RIVER,6,118520.789
26,1908,FALL RIVER,3,118550.8754
1,1909,FALL RIVER,6,118580.7746
2,1909,FALL RIVER,11,118610.4875
3,1909,FALL RIVER,23,118640.0149
4,1909,FALL RIVER,9,118669.3574
5,1909,FALL RIVER,11,118698.516
6,1909,FALL RIVER,13,118727.4912
7,1909,FALL RIVER,11,118756.284
8,1909,FALL RIVER,8,118784.8951
9,1909,FALL RIVER,3,118813.3251
10,1909,FALL RIVER,3,118841.5751
11,1909,FALL RIVER,8,118869.6455
12,1909,FALL RIVER,6,118897.5374
13,1909,FALL RIVER,12,118925.2514
14,1909,FALL RIVER,6,118952.7882
15,1909,FALL RIVER,4,118980.1487
16,1909,FALL RIVER,NA,119007.3337
17,1909,FALL RIVER,NA,119034.3438
18,1909,FALL RIVER,NA,119061.1799
19,1909,FALL RIVER,NA,119087.8427
20,1909,FALL RIVER,2,119114.333
21,1909,FALL RIVER,NA,119140.6517
22,1909,FALL RIVER,NA,119166.7993
23,1909,FALL RIVER,NA,119192.7767
24,1909,FALL RIVER,NA,119218.5848
25,1909,FALL RIVER,2,119244.2241
26,1909,FALL RIVER,NA,119269.6956
1,1910,FALL RIVER,NA,119295
2,1910,FALL RIVER,NA,119320.1379
3,1910,FALL RIVER,2,119345.1096
4,1910,FALL RIVER,6,119369.915
5,1910,FALL RIVER,8,119394.5544
6,1910,FALL RIVER,2,119419.0278
7,1910,FALL RIVER,2,119443.3353
8,1910,FALL RIVER,2,119467.4769
9,1910,FALL RIVER,13,119491.4528
10,1910,FALL RIVER,24,119515.2631
11,1910,FALL RIVER,28,119538.9078
12,1910,FALL RIVER,24,119562.387
13,1910,FALL RIVER,24,119585.7008
14,1910,FALL RIVER,18,119608.8494
15,1910,FALL RIVER,30,119631.8327
16,1910,FALL RIVER,5,119654.6508
17,1910,FALL RIVER,14,119677.304
18,1910,FALL RIVER,6,119699.7922
19,1910,FALL RIVER,NA,119722.1155
20,1910,FALL RIVER,NA,119744.274
21,1910,FALL RIVER,NA,119766.2678
22,1910,FALL RIVER,NA,119788.0971
23,1910,FALL RIVER,NA,119809.7618
24,1910,FALL RIVER,NA,119831.2621
25,1910,FALL RIVER,NA,119852.598
26,1910,FALL RIVER,6,119873.7697
1,1911,FALL RIVER,6,119894.7772
2,1911,FALL RIVER,10,119915.6206
3,1911,FALL RIVER,13,119936.3
4,1911,FALL RIVER,92,119956.8155
5,1911,FALL RIVER,52,119977.1672
6,1911,FALL RIVER,81,119997.3552
7,1911,FALL RIVER,67,120017.3795
8,1911,FALL RIVER,75,120037.2403
9,1911,FALL RIVER,48,120056.9375
10,1911,FALL RIVER,32,120076.4714
11,1911,FALL RIVER,25,120095.842
12,1911,FALL RIVER,17,120115.0494
13,1911,FALL RIVER,8,120134.0936
14,1911,FALL RIVER,8,120152.9748
15,1911,FALL RIVER,2,120171.6931
16,1911,FALL RIVER,NA,120190.2485
17,1911,FALL RIVER,NA,120208.6411
18,1911,FALL RIVER,NA,120226.871
19,1911,FALL RIVER,NA,120244.9383
20,1911,FALL RIVER,NA,120262.8431
21,1911,FALL RIVER,4,120280.5855
22,1911,FALL RIVER,2,120298.1655
23,1911,FALL RIVER,NA,120315.5833
24,1911,FALL RIVER,NA,120332.8389
25,1911,FALL RIVER,NA,120349.9324
26,1911,FALL RIVER,2,120366.8639
1,1912,FALL RIVER,NA,120383.6336
2,1912,FALL RIVER,NA,120400.2414
3,1912,FALL RIVER,2,120416.6874
4,1912,FALL RIVER,5,120432.9719
5,1912,FALL RIVER,2,120449.0947
6,1912,FALL RIVER,4,120465.0561
7,1912,FALL RIVER,2,120480.8561
8,1912,FALL RIVER,2,120496.4948
9,1912,FALL RIVER,6,120511.9723
10,1912,FALL RIVER,4,120527.2887
11,1912,FALL RIVER,4,120542.4441
12,1912,FALL RIVER,2,120557.4385
13,1912,FALL RIVER,2,120572.272
14,1912,FALL RIVER,2,120586.9447
15,1912,FALL RIVER,2,120601.4568
16,1912,FALL RIVER,NA,120615.8083
17,1912,FALL RIVER,NA,120629.9992
18,1912,FALL RIVER,NA,120644.0298
19,1912,FALL RIVER,2,120657.8999
20,1912,FALL RIVER,2,120671.6099
21,1912,FALL RIVER,NA,120685.1597
22,1912,FALL RIVER,NA,120698.5493
23,1912,FALL RIVER,NA,120711.779
24,1912,FALL RIVER,2,120724.8488
25,1912,FALL RIVER,2,120737.7588
26,1912,FALL RIVER,NA,120750.5091
1,1913,FALL RIVER,2,120763.0997
2,1913,FALL RIVER,8,120775.5307
3,1913,FALL RIVER,9,120787.8023
4,1913,FALL RIVER,23,120799.9145
5,1913,FALL RIVER,52,120811.8674
6,1913,FALL RIVER,110,120823.6611
7,1913,FALL RIVER,32,120835.2957
8,1913,FALL RIVER,107,120846.7712
9,1913,FALL RIVER,109,120858.0878
10,1913,FALL RIVER,130,120869.2456
11,1913,FALL RIVER,120,120880.2445
12,1913,FALL RIVER,72,120891.0848
13,1913,FALL RIVER,33,120901.7665
14,1913,FALL RIVER,22,120912.2897
15,1913,FALL RIVER,6,120922.6544
16,1913,FALL RIVER,NA,120932.8608
17,1913,FALL RIVER,3,120942.909
18,1913,FALL RIVER,NA,120952.799
19,1913,FALL RIVER,2,120962.5309
20,1913,FALL RIVER,2,120972.1049
21,1913,FALL RIVER,2,120981.5209
22,1913,FALL RIVER,2,120990.7791
23,1913,FALL RIVER,6,120999.8796
24,1913,FALL RIVER,2,121008.8225
25,1913,FALL RIVER,3,121017.6078
26,1913,FALL RIVER,6,121026.2356
1,1914,FALL RIVER,2,121034.7061
2,1914,FALL RIVER,4,121043.0192
3,1914,FALL RIVER,4,121051.1752
4,1914,FALL RIVER,NA,121059.174
5,1914,FALL RIVER,4,121067.0158
6,1914,FALL RIVER,2,121074.7007
7,1914,FALL RIVER,2,121082.2287
8,1914,FALL RIVER,NA,121089.6
9,1914,FALL RIVER,4,121096.8145
10,1914,FALL RIVER,4,121103.8725
11,1914,FALL RIVER,NA,121110.7739
12,1914,FALL RIVER,4,121117.519
13,1914,FALL RIVER,4,121124.1077
14,1914,FALL RIVER,6,121130.5401
15,1914,FALL RIVER,4,121136.8164
16,1914,FALL RIVER,10,121142.9367
17,1914,FALL RIVER,3,121148.9009
18,1914,FALL RIVER,6,121154.7092
19,1914,FALL RIVER,6,121160.3618
20,1914,FALL RIVER,5,121165.8586
21,1914,FALL RIVER,22,121171.1997
22,1914,FALL RIVER,12,121176.3854
23,1914,FALL RIVER,8,121181.4155
24,1914,FALL RIVER,19,121186.2903
25,1914,FALL RIVER,14,121191.0098
26,1914,FALL RIVER,62,121195.5741
1,1915,FALL RIVER,40,121199.9832
2,1915,FALL RIVER,53,121204.2374
3,1915,FALL RIVER,46,121208.3366
4,1915,FALL RIVER,23,121212.2809
5,1915,FALL RIVER,16,121216.0705
6,1915,FALL RIVER,18,121219.7054
7,1915,FALL RIVER,11,121223.1858
8,1915,FALL RIVER,2,121226.5116
9,1915,FALL RIVER,13,121229.683
10,1915,FALL RIVER,11,121232.7
11,1915,FALL RIVER,7,121235.5628
12,1915,FALL RIVER,7,121238.2715
13,1915,FALL RIVER,7,121240.8261
14,1915,FALL RIVER,4,121243.2267
15,1915,FALL RIVER,5,121245.4734
16,1915,FALL RIVER,18,121247.5663
17,1915,FALL RIVER,2,121249.5055
18,1915,FALL RIVER,36,121251.291
19,1915,FALL RIVER,2,121252.923
20,1915,FALL RIVER,2,121254.4016
21,1915,FALL RIVER,2,121255.7267
22,1915,FALL RIVER,NA,121256.8986
23,1915,FALL RIVER,2,121257.9173
24,1915,FALL RIVER,6,121258.7829
25,1915,FALL RIVER,6,121259.4954
26,1915,FALL RIVER,2,121260.055
1,1916,FALL RIVER,8,121260.4618
2,1916,FALL RIVER,10,121260.7158
3,1916,FALL RIVER,NA,121260.8171
4,1916,FALL RIVER,8,121260.7658
5,1916,FALL RIVER,17,121260.562
6,1916,FALL RIVER,20,121260.2058
7,1916,FALL RIVER,22,121259.6973
8,1916,FALL RIVER,20,121259.0366
9,1916,FALL RIVER,9,121258.2237
10,1916,FALL RIVER,25,121257.2587
11,1916,FALL RIVER,17,121256.1417
12,1916,FALL RIVER,18,121254.8729
13,1916,FALL RIVER,10,121253.4522
14,1916,FALL RIVER,18,121251.8798
15,1916,FALL RIVER,6,121250.1558
16,1916,FALL RIVER,NA,121248.2803
17,1916,FALL RIVER,3,121246.2533
18,1916,FALL RIVER,8,121244.0749
19,1916,FALL RIVER,7,121241.7452
20,1916,FALL RIVER,8,121239.2644
21,1916,FALL RIVER,NA,121236.6324
22,1916,FALL RIVER,7,121233.8494
23,1916,FALL RIVER,49,121230.9155
24,1916,FALL RIVER,102,121227.8307
25,1916,FALL RIVER,121,121224.5952
26,1916,FALL RIVER,105,121221.209
1,1917,FALL RIVER,144,121217.6722
2,1917,FALL RIVER,114,121213.9849
3,1917,FALL RIVER,184,121210.1472
4,1917,FALL RIVER,199,121206.1591
5,1917,FALL RIVER,178,121202.0209
6,1917,FALL RIVER,105,121197.7325
7,1917,FALL RIVER,76,121193.294
8,1917,FALL RIVER,87,121188.7055
9,1917,FALL RIVER,142,121183.9672
10,1917,FALL RIVER,120,121179.079
11,1917,FALL RIVER,157,121174.0411
12,1917,FALL RIVER,140,121168.8537
13,1917,FALL RIVER,61,121163.5166
14,1917,FALL RIVER,33,121158.0301
15,1917,FALL RIVER,11,121152.3943
16,1917,FALL RIVER,8,121146.6091
17,1917,FALL RIVER,8,121140.6748
18,1917,FALL RIVER,3,121134.5913
19,1917,FALL RIVER,2,121128.3589
20,1917,FALL RIVER,2,121121.9775
21,1917,FALL RIVER,NA,121115.4473
22,1917,FALL RIVER,4,121108.7683
23,1917,FALL RIVER,NA,121101.9406
24,1917,FALL RIVER,4,121094.9644
25,1917,FALL RIVER,2,121087.8396
26,1917,FALL RIVER,2,121080.5665
1,1918,FALL RIVER,4,121073.145
2,1918,FALL RIVER,3,121065.5753
3,1918,FALL RIVER,12,121057.8574
4,1918,FALL RIVER,7,121049.9915
5,1918,FALL RIVER,11,121041.9776
6,1918,FALL RIVER,9,121033.8158
7,1918,FALL RIVER,5,121025.5062
8,1918,FALL RIVER,6,121017.0489
9,1918,FALL RIVER,27,121008.444
10,1918,FALL RIVER,17,120999.6916
11,1918,FALL RIVER,16,120990.7917
12,1918,FALL RIVER,13,120981.7444
13,1918,FALL RIVER,8,120972.5498
14,1918,FALL RIVER,6,120963.2081
15,1918,FALL RIVER,14,120953.7192
16,1918,FALL RIVER,3,120944.0834
17,1918,FALL RIVER,12,120934.3006
18,1918,FALL RIVER,10,120924.371
19,1918,FALL RIVER,16,120914.2946
20,1918,FALL RIVER,15,120904.0715
21,1918,FALL RIVER,13,120893.7019
22,1918,FALL RIVER,6,120883.1858
23,1918,FALL RIVER,5,120872.5232
24,1918,FALL RIVER,4,120861.7144
25,1918,FALL RIVER,7,120850.7593
26,1918,FALL RIVER,15,120839.658
1,1919,FALL RIVER,18,120828.4108
2,1919,FALL RIVER,37,120817.0175
3,1919,FALL RIVER,48,120805.4783
4,1919,FALL RIVER,42,120793.7934
5,1919,FALL RIVER,79,120781.9627
6,1919,FALL RIVER,125,120769.9865
7,1919,FALL RIVER,109,120757.8647
8,1919,FALL RIVER,127,120745.5974
9,1919,FALL RIVER,108,120733.1848
10,1919,FALL RIVER,148,120720.6269
11,1919,FALL RIVER,74,120707.9238
12,1919,FALL RIVER,67,120695.0756
13,1919,FALL RIVER,45,120682.0824
14,1919,FALL RIVER,25,120668.9443
15,1919,FALL RIVER,26,120655.6613
16,1919,FALL RIVER,8,120642.2336
17,1919,FALL RIVER,7,120628.6612
18,1919,FALL RIVER,6,120614.9443
19,1919,FALL RIVER,13,120601.0828
20,1919,FALL RIVER,12,120587.077
21,1919,FALL RIVER,14,120572.9268
22,1919,FALL RIVER,23,120558.6324
23,1919,FALL RIVER,12,120544.1939
24,1919,FALL RIVER,26,120529.6113
25,1919,FALL RIVER,18,120514.8847
26,1919,FALL RIVER,10,120500.0142
1,1920,FALL RIVER,5,120485
2,1920,FALL RIVER,9,120469.8422
3,1920,FALL RIVER,12,120454.542
4,1920,FALL RIVER,22,120439.1005
5,1920,FALL RIVER,26,120423.5189
6,1920,FALL RIVER,17,120407.7985
7,1920,FALL RIVER,13,120391.9405
8,1920,FALL RIVER,15,120375.9461
9,1920,FALL RIVER,16,120359.8165
10,1920,FALL RIVER,22,120343.5529
11,1920,FALL RIVER,26,120327.1566
12,1920,FALL RIVER,19,120310.6288
13,1920,FALL RIVER,36,120293.9706
14,1920,FALL RIVER,14,120277.1834
15,1920,FALL RIVER,10,120260.2683
16,1920,FALL RIVER,8,120243.2266
17,1920,FALL RIVER,5,120226.0594
18,1920,FALL RIVER,2,120208.768
19,1920,FALL RIVER,7,120191.3536
20,1920,FALL RIVER,9,120173.8175
21,1920,FALL RIVER,28,120156.1608
22,1920,FALL RIVER,37,120138.3847
23,1920,FALL RIVER,31,120120.4905
24,1920,FALL RIVER,29,120102.4794
25,1920,FALL RIVER,41,120084.3526
26,1920,FALL RIVER,62,120066.1114
1,1921,FALL RIVER,52,120047.7569
2,1921,FALL RIVER,39,120029.2903
3,1921,FALL RIVER,57,120010.713
4,1921,FALL RIVER,48,119992.026
5,1921,FALL RIVER,35,119973.2307
6,1921,FALL RIVER,33,119954.3282
7,1921,FALL RIVER,25,119935.3198
8,1921,FALL RIVER,40,119916.2067
9,1921,FALL RIVER,10,119896.99
10,1921,FALL RIVER,24,119877.6711
11,1921,FALL RIVER,9,119858.2511
12,1921,FALL RIVER,12,119838.7312
13,1921,FALL RIVER,8,119819.1127
14,1921,FALL RIVER,4,119799.3968
15,1921,FALL RIVER,3,119779.5848
16,1921,FALL RIVER,4,119759.6777
17,1921,FALL RIVER,NA,119739.6769
18,1921,FALL RIVER,2,119719.5835
19,1921,FALL RIVER,NA,119699.3988
20,1921,FALL RIVER,NA,119679.124
21,1921,FALL RIVER,NA,119658.7603
22,1921,FALL RIVER,NA,119638.309
23,1921,FALL RIVER,NA,119617.7712
24,1921,FALL RIVER,NA,119597.1482
25,1921,FALL RIVER,2,119576.4411
26,1921,FALL RIVER,NA,119555.6513
1,1922,FALL RIVER,2,119534.7799
2,1922,FALL RIVER,2,119513.8281
3,1922,FALL RIVER,2,119492.7972
4,1922,FALL RIVER,8,119471.6884
5,1922,FALL RIVER,4,119450.5029
6,1922,FALL RIVER,4,119429.2418
7,1922,FALL RIVER,2,119407.9066
8,1922,FALL RIVER,4,119386.4982
9,1922,FALL RIVER,4,119365.0181
10,1922,FALL RIVER,8,119343.4673
11,1922,FALL RIVER,3,119321.8471
12,1922,FALL RIVER,10,119300.1588
13,1922,FALL RIVER,9,119278.4035
14,1922,FALL RIVER,20,119256.5825
15,1922,FALL RIVER,19,119234.6969
16,1922,FALL RIVER,13,119212.7481
17,1922,FALL RIVER,8,119190.7371
18,1922,FALL RIVER,11,119168.6653
19,1922,FALL RIVER,20,119146.5339
20,1922,FALL RIVER,89,119124.344
21,1922,FALL RIVER,108,119102.0969
22,1922,FALL RIVER,145,119079.7938
23,1922,FALL RIVER,150,119057.436
24,1922,FALL RIVER,212,119035.0245
25,1922,FALL RIVER,224,119012.5608
26,1922,FALL RIVER,182,118990.0459
1,1923,FALL RIVER,143,118967.4812
2,1923,FALL RIVER,97,118944.8677
3,1923,FALL RIVER,98,118922.2068
4,1923,FALL RIVER,76,118899.4996
5,1923,FALL RIVER,38,118876.7474
6,1923,FALL RIVER,23,118853.9514
7,1923,FALL RIVER,12,118831.1128
8,1923,FALL RIVER,15,118808.2329
9,1923,FALL RIVER,9,118785.3127
10,1923,FALL RIVER,10,118762.3537
11,1923,FALL RIVER,7,118739.3569
12,1923,FALL RIVER,4,118716.3236
13,1923,FALL RIVER,6,118693.2551
14,1923,FALL RIVER,2,118670.1524
15,1923,FALL RIVER,4,118647.017
16,1923,FALL RIVER,2,118623.8499
17,1923,FALL RIVER,NA,118600.6524
18,1923,FALL RIVER,NA,118577.4257
19,1923,FALL RIVER,NA,118554.171
20,1923,FALL RIVER,2,118530.8896
21,1923,FALL RIVER,NA,118507.5826
22,1923,FALL RIVER,NA,118484.2513
23,1923,FALL RIVER,NA,118460.897
24,1923,FALL RIVER,4,118437.5207
25,1923,FALL RIVER,2,118414.1238
26,1923,FALL RIVER,NA,118390.7074
1,1924,FALL RIVER,3,118367.2728
2,1924,FALL RIVER,2,118343.8212
3,1924,FALL RIVER,3,118320.3538
4,1924,FALL RIVER,5,118296.8719
5,1924,FALL RIVER,6,118273.3766
6,1924,FALL RIVER,26,118249.8691
7,1924,FALL RIVER,47,118226.3507
8,1924,FALL RIVER,75,118202.8227
9,1924,FALL RIVER,59,118179.2861
10,1924,FALL RIVER,62,118155.7423
11,1924,FALL RIVER,16,118132.1925
12,1924,FALL RIVER,10,118108.6378
13,1924,FALL RIVER,3,118085.0795
14,1924,FALL RIVER,3,118061.5188
15,1924,FALL RIVER,2,118037.957
16,1924,FALL RIVER,0,118014.3952
17,1924,FALL RIVER,1,117990.8347
18,1924,FALL RIVER,1,117967.2766
19,1924,FALL RIVER,1,117943.7223
20,1924,FALL RIVER,0,117920.1729
21,1924,FALL RIVER,0,117896.6296
22,1924,FALL RIVER,3,117873.0937
23,1924,FALL RIVER,2,117849.5663
24,1924,FALL RIVER,0,117826.0487
25,1924,FALL RIVER,2,117802.5422
26,1924,FALL RIVER,0,117779.0479
1,1925,FALL RIVER,1,117755.567
2,1925,FALL RIVER,0,117732.1008
3,1925,FALL RIVER,2,117708.6505
4,1925,FALL RIVER,1,117685.2173
5,1925,FALL RIVER,1,117661.8024
6,1925,FALL RIVER,0,117638.407
7,1925,FALL RIVER,0,117615.0324
8,1925,FALL RIVER,4,117591.6798
9,1925,FALL RIVER,3,117568.3504
10,1925,FALL RIVER,3,117545.0454
11,1925,FALL RIVER,3,117521.766
12,1925,FALL RIVER,11,117498.5135
13,1925,FALL RIVER,30,117475.289
14,1925,FALL RIVER,17,117452.0938
15,1925,FALL RIVER,14,117428.9292
16,1925,FALL RIVER,12,117405.7962
17,1925,FALL RIVER,10,117382.6962
18,1925,FALL RIVER,6,117359.6303
19,1925,FALL RIVER,16,117336.5999
20,1925,FALL RIVER,28,117313.606
21,1925,FALL RIVER,95,117290.6499
22,1925,FALL RIVER,121,117267.7329
23,1925,FALL RIVER,189,117244.8561
24,1925,FALL RIVER,162,117222.0208
25,1925,FALL RIVER,265,117199.2282
26,1925,FALL RIVER,144,117176.4794
1,1926,FALL RIVER,373,117153.7758
2,1926,FALL RIVER,139,117131.1186
3,1926,FALL RIVER,100,117108.5089
4,1926,FALL RIVER,41,117085.948
5,1926,FALL RIVER,33,117063.437
6,1926,FALL RIVER,17,117040.9773
7,1926,FALL RIVER,12,117018.57
8,1926,FALL RIVER,21,116996.2164
9,1926,FALL RIVER,21,116973.9176
10,1926,FALL RIVER,18,116951.675
11,1926,FALL RIVER,3,116929.4896
12,1926,FALL RIVER,11,116907.3628
13,1926,FALL RIVER,3,116885.2957
14,1926,FALL RIVER,2,116863.2895
15,1926,FALL RIVER,1,116841.3456
16,1926,FALL RIVER,0,116819.465
17,1926,FALL RIVER,0,116797.6491
18,1926,FALL RIVER,2,116775.8989
19,1926,FALL RIVER,1,116754.2159
20,1926,FALL RIVER,0,116732.6011
21,1926,FALL RIVER,3,116711.0558
22,1926,FALL RIVER,1,116689.5812
23,1926,FALL RIVER,1,116668.1785
24,1926,FALL RIVER,2,116646.849
25,1926,FALL RIVER,1,116625.5938
26,1926,FALL RIVER,1,116604.4142
