Scientific Name	Taxon Author	tsn
Alloscirtetica mielkei	Urban, 1977	766091
Alloscirtetica mourei	Urban, 1977	766092
Alloscirtetica oliveirae	Urban, 1977	766093
Alloscirtetica paraguayensis	(Friese, 1909)	766094
Alloscirtetica porteri	(Ruiz, 1938)	766095
Alloscirtetica rufitarsis	(Bertoni, 1918)	766096
Alloscirtetica sakakibarai	Urban, 1977	766097
Alloscirtetica segmentaria	(Brèthes, 1910)	766098
Alloscirtetica semirufa	(Friese, 1908)	766099
Alloscirtetica spegazzinii	(Brèthes, 1910)	766100
Alloscirtetica tornowii	(Brèthes, 1910)	766101
Alloscirtetica tristrigata	(Spinola, 1851)	766102
Alloscirtetica vagabunda	Vivallo, 2003	766103
Alloscirtetica valparadisaea	(Herbst, 1920)	766104
Alloscirtetica vara	(Brèthes, 1910)	766105
Alloscirtetica weyrauchi	Michener, LaBerge & Moure, 1955	766106
Canephorula apiformis	(Friese, 1908)	766107
Cemolobus ipomoeae	(Robertson, 1891)	699007
Cubitalia baal	Engel, 2006	766108
Cubitalia boyadjiani	(Vachal, 1907)	766109
Cubitalia breviceps	(Friese, 1911)	766110
Cubitalia donatica	(Sitdikov, 1988)	766111
Cubitalia monstruosa	(Risch, 1999)	766112
Cubitalia morio	(Friese, 1922)	766113
Cubitalia parvicornis	(Mocsáry, 1878)	766114
Cubitalia tristis	(Morawitz, 1876)	766115
Eucera acerba	(Cresson, 1879)	699145
Eucera actuosa	(Cresson, 1878)	699146
Eucera aequata	Vachal, 1907	766116
Eucera afghana	Tkalcu, 1978	766117
Eucera albescens	(Timberlake, 1969)	699147
Eucera alborufa	(Radoszkowski, 1872)	766118
Eucera alfkeni	Risch, 2003	766119
Eucera algeriensis	Dalla Torre, 1896	766120
Eucera algira	Brullé, 1840	766121
Eucera alopex	Risch, 1999	766122
Eucera alternans	(Brullé, 1832)	766123
Eucera amoena	(Zavortink, 1982)	699148
Eucera amsinckiae	(Timberlake, 1969)	699149
Eucera andreui	(Dusmet y Alonso, 1926)	766124
Eucera angustifrons	(Timberlake, 1969)	699150
Eucera arachosiae	Tkalcu, 1978	766125
Eucera aragalli	(Cockerell, 1904)	699151
Eucera argyrophila	(Cockerell, 1909)	699152
Eucera armeniaca	(Morawitz, 1878)	766126
Eucera atrata	Klug, 1845	766127
Eucera atricornis	Fabricius, 1793	766128
Eucera atriventris	(Smith, 1854)	699153
Eucera atroalba	(Pérez, 1895)	766129
Eucera bakeri	(Timberlake, 1973)	699154
Eucera barbiventris	Pérez, 1902	766130
Eucera basizona	(Spinola, 1839)	766543
Eucera belfragei	(Cresson, 1872)	699155
Eucera bidentata	Pérez, 1887	766132
Eucera birkmanniella	(Cockerell, 1906)	699156
Eucera biscrensis	(Alfken, 1933)	766133
Eucera brevitarsis	Risch, 1997	766134
Eucera caerulescens	Friese, 1899	766135
Eucera californica	(Cresson, 1878)	699157
Eucera carinata	(Timberlake, 1961)	699158
Eucera carolinensis	Dalla Torre, 1896	699159
Eucera caspica	Morawitz, 1873	766136
Eucera cassandra	Nurse, 1904	766137
Eucera cercidis	(Timberlake, 1969)	699160
Eucera chinensis	(Smith, 1854)	766138
Eucera chrysobotryae	(Cockerell, 1908)	699161
Eucera chrysophila	(Cockerell, 1914)	699162
Eucera chrysopyga	Pérez, 1879	766139
Eucera cineraria	Eversmann, 1852	766140
Eucera cinnamomea	Alfken, 1935	766141
Eucera clypeata	Erichson, 1835	766142
Eucera codinai	Dusmet y Alonso, 1926	766143
Eucera collaris	Dours, 1873	766144
Eucera commixta	Dalla Torre & Friese, 1895	766545
Eucera conditi	(Timberlake, 1969)	699163
Eucera conformis	(Timberlake, 1969)	699164
Eucera cordleyi	(Viereck, 1905)	699165
Eucera cuniculina	Klug, 1845	766145
Eucera curvitarsis	Mocsáry, 1879	766146
Eucera cypria	Alfken, 1933	766147
Eucera dalmatica	Lepeletier, 1841	766148
Eucera deceptrix	Smith, 1879	766149
Eucera decipiens	Alfken, 1935	766150
Eucera decolorata	Gribodo, 1924	766151
Eucera delphinii	(Timberlake, 1969)	699166
Eucera diana	Nurse, 1904	766152
Eucera digitata	Friese, 1896	766153
Eucera dimidiata	Brullé, 1832	766154
Eucera discoidalis	Morawitz, 1878	766155
Eucera distincta	Lepeletier, 1841	766156
Eucera distinguenda	(Morawitz, 1875)	766157
Eucera dorsata	(Timberlake, 1969)	699167
Eucera douglasiana	(Cockerell, 1906)	699168
Eucera doursana	Dalla Torre & Friese, 1894	766158
Eucera dubitata	(Cresson, 1878)	699169
Eucera ebmeri	Risch, 1999	766159
Eucera edwardsii	(Cresson, 1878)	699170
Eucera elongatula	Vachal, 1907	766160
Eucera eucnemidea	Dours, 1873	766161
Eucera excisa	Mocsáry, 1879	766162
Eucera fasciata	Risch, 1999	766163
Eucera fasciatella	Lepeletier, 1841	766164
Eucera fedtschenkoi	Dalla Torre, 1896	766165
Eucera ferghanica	Morawitz, 1875	766166
Eucera ferruginea	Lepeletier, 1841	766167
Eucera flavicornis	Risch, 2003	766168
Eucera floralia	(Smith, 1854)	766169
Eucera frater	(Cresson, 1878)	699171
Eucera friesei	Risch, 2003	766170
Eucera fulvitarsis	(Cresson, 1878)	699172
Eucera fulviventris	(Smith, 1854)	699173
Eucera fulvohirta	(Cresson, 1878)	699174
Eucera furfurea	Vachal, 1907	766171
Eucera gaullei	Vachal, 1907	766172
Eucera genofevae	Vachal, 1907	766173
Eucera gracilipes	Pérez, 1895	766174
Eucera graeca	Radoszkowski, 1876	766175
Eucera grandis	(Fonscolombe, 1846)	766176
Eucera hamata	(Bradley, 1942)	699175
Eucera helvola	Klug, 1845	766177
Eucera hermoni	Risch, 2003	766178
Eucera hirsuta	Morawitz, 1875	766179
Eucera hirsutissima	(Cockerell, 1916)	699176
Eucera hispaliensis	Pérez, 1902	766180
Eucera hispana	Lepeletier, 1841	766181
Eucera hungarica	Friese, 1896	766182
Eucera hurdi	(Timberlake, 1969)	699177
Eucera ignota	(Timberlake, 1969)	699178
Eucera illinoensis	(Robertson, 1902)	699179
Eucera interrupta	Bär, 1850	766184
Eucera jacoti	(Cockerell, 1930)	766185
Eucera kilikiae	Risch, 1999	766186
Eucera kullenbergi	Tkalcu, 1978	766187
Eucera kyrenaica	Friese, 1923	766188
Eucera lanata	Sitdikov, 1988	766189
Eucera lanuginosa	Klug, 1845	766190
Eucera latipes	Risch, 1997	766191
Eucera laxiscopa	Alfken, 1935	766192
Eucera lepida	(Cresson, 1878)	699180
Eucera longicornis	(Linnaeus, 1758)	766193
Eucera lucasi	(Gribodo, 1893)	766194
Eucera lunata	(Timberlake, 1969)	699181
Eucera lutziana	(Cockerell, 1933)	699182
Eucera lycii	(Cockerell, 1897)	699183
Eucera maroccana	(Dusmet y Alonso, 1928)	766195
Eucera mastrucata	(Morawitz, 1875)	766196
Eucera matalae	Tkalcu, 2003	766197
Eucera mauritaniae	Tkalcu, 1984	766198
Eucera maxima	Tkalcu, 1987	766199
Eucera mediterranea	Friese, 1896	766200
Eucera melanocephala	Morawitz, 1875	766201
Eucera metallescens	(Morawitz, 1888)	766202
Eucera microsoma	Cockerell, 1922	766203
Eucera minulla	Risch, 2003	766204
Eucera mohavensis	(Timberlake, 1969)	699184
Eucera monozona	(Timberlake, 1969)	699185
Eucera monticola	Risch, 2003	766205
Eucera moricei	Alfken, 1935	766206
Eucera nigrescens	Pérez, 1879	766207
Eucera nigrifacies	Lepeletier, 1841	766208
Eucera nigrilabris	Lepeletier, 1841	766209
Eucera nigripes	Klug, 1845	766210
Eucera nigrita	Friese, 1895	766211
Eucera nipponensis	(Pérez, 1911)	766212
Eucera nitidiventris	Mocsáry, 1879	766213
Eucera notata	Lepeletier, 1841	766214
Eucera numida	Lepeletier, 1841	766215
Eucera obliterata	Pérez, 1896	766216
Eucera occidentalis	Risch, 1999	766217
Eucera oraniensis	Lepeletier, 1841	766218
Eucera oreophila	Risch, 2003	766219
Eucera pagosana	(Cockerell, 1925)	699186
Eucera pallidihirta	(Timberlake, 1969)	699187
Eucera pannonica	Mocsáry, 1878	766220
Eucera paraclypeata	Sitdikov, 1988	766221
Eucera parnassia	Pérez, 1902	766222
Eucera pedata	Dours, 1873	766556
Eucera pekingensis	Yasumatsu, 1946	766223
Eucera penicillata	Risch, 1997	766224
Eucera phaceliae	(Cockerell, 1911)	699188
Eucera pici	Vachal, 1907	766225
Eucera pitalomasa	(Dover, 1925)	766226
Eucera polita	Pérez, 1895	766227
Eucera pollinaris	(Kirby, 1802)	766228
Eucera pomeranzevii	(Morawitz, 1888)	766229
Eucera pomona	Nurse, 1904	766230
Eucera popovi	Sitdikov, 1988	766231
Eucera primiveris	(Timberlake, 1969)	699189
Eucera pseudeucnemidea	Risch, 1997	766232
Eucera pulveracea	Dours, 1873	766233
Eucera punctatissima	Pérez, 1895	766234
Eucera puncticollis	Morawitz, 1876	766235
Eucera punctissima	de Gaulle, 1908	766236
Eucera punctulata	Alfken, 1942	766237
Eucera pusilla	Morawitz, 1875	766238
Eucera pythagoras	Risch, 2003	766239
Eucera quadricincta	(Timberlake, 1969)	699190
Eucera quilisi	(Dusmet y Alonso, 1926)	766240
Eucera rosae	(Robertson, 1900)	699191
Eucera ruficollis	(Brullé, 1832)	766241
Eucera rufipes	Smith, 1879	766242
Eucera salamita	Vachal, 1907	766243
Eucera seminuda	Brullé, 1832	766244
Eucera serraticornis	Risch, 1999	766245
Eucera sociabilis	Smith, 1873	766246
Eucera sogdiana	Morawitz, 1875	766247
Eucera spatulata	Gribodo, 1893	766248
Eucera speciosa	(Cresson, 1878)	699192
Eucera spectabilis	(Morawitz, 1875)	766249
Eucera speculifer	Pérez, 1911	766250
Eucera spinipes	Risch, 2003	766251
Eucera spurcatipes	Pérez, 1911	766252
Eucera squamosa	Lepeletier, 1841	766253
Eucera stretchii	(Cresson, 1878)	699193
Eucera suavis	(Cresson, 1878)	699194
Eucera subrufa	Lepeletier, 1841	766254
Eucera syriaca	Dalla Torre, 1896	766255
Eucera taurica	Morawitz, 1871	766256
Eucera tegularis	Morawitz, 1875	766257
Eucera territella	(Cockerell, 1909)	699195
Eucera texana	(Timberlake, 1969)	699196
Eucera thoracica	Spinola, 1839	766258
Eucera tibialis	Morawitz, 1875	766259
Eucera transitoria	(Morawitz, 1875)	766260
Eucera tricincta	Erichson, 1835	766261
Eucera tricinctella	(Timberlake, 1969)	699197
Eucera troglodytes	Risch, 2003	766262
Eucera truttae	(Cockerell, 1905)	699198
Eucera tuberculata	(Fabricius, 1793)	766263
Eucera turcomannica	(Morawitz, 1880)	766264
Eucera vachali	Pérez, 1895	766265
Eucera velutina	(Morawitz, 1873)	766266
Eucera venusta	(Timberlake, 1961)	699199
Eucera vernalis	(Morawitz, 1875)	766267
Eucera vicina	(Morawitz, 1876)	766561
Eucera vidua	Lepeletier, 1841	766268
Eucera virgata	(Cockerell, 1905)	699200
Eucera vittulata	Noskiewicz, 1934	766269
Eucera vulpes	Brullé, 1832	766270
Eucera warnckei	Risch, 1999	766271
Eucera yunnanensis	(Wu, 2000)	766272
Eucera zeta	Dalla Torre, 1896	766273
Eucera zonata	(Timberlake, 1969)	699201
Eucerinoda gayi	(Spinola, 1851)	766274
Florilegus affinis	Urban, 1970	766275
Florilegus condignus	(Cresson, 1878)	699255
Florilegus festivus	(Smith, 1854)	766276
Florilegus flavohirtus	Urban, 1970	766277
Florilegus fulvipes	(Smith, 1854)	766278
Florilegus lanierii	(Guérin-Méneville, 1845)	699256
Florilegus melectoides	(Smith, 1879)	699257
Florilegus purpurascens	Cockerell, 1914	766279
Florilegus riparius	Ogloblin, 1955	766280
Florilegus similis	Urban, 1970	766281
Florilegus tucumanus	(Brèthes, 1910)	766282
Gaesischia anthidioides	Urban, 1968	766283
Gaesischia araguaiana	Urban, 1968	766284
Gaesischia aurea	Urban, 1968	766285
Gaesischia belophora	(Moure, 1941)	766286
Gaesischia brachyura	(Brèthes, 1910)	766287
Gaesischia buzzii	Urban, 1989	766288
Gaesischia cacerensis	Urban, 1989	766289
Gaesischia caracicola	Urban, 2007	766290
Gaesischia carinata	Urban, 1989	766291
Gaesischia cearensis	(Ducke, 1911)	766292
Gaesischia cipoana	Urban, 2007	766293
Gaesischia corduvensis	(Brèthes, 1910)	766294
Gaesischia exul	Michener, LaBerge & Moure, 1955	699258
Gaesischia fimbriata	Urban, 1968	766295
Gaesischia flavoclypeata	Michener, LaBerge & Moure, 1955	766296
Gaesischia fulgurans	(Holmberg, 1903)	766297
Gaesischia glabrata	Urban, 1989	766298
Gaesischia horizontina	Urban, 2007	766299
Gaesischia hyptidis	(Ducke, 1911)	766300
Gaesischia interrupta	Urban, 1989	766301
Gaesischia melanaspis	Urban, 1968	766302
Gaesischia mexicana	LaBerge, 1958	699259
Gaesischia mimetica	(Brèthes, 1910)	766303
Gaesischia minima	Urban, 1989	766304
Gaesischia mirnae	Urban, 1989	766305
Gaesischia nigra	Moure, 1968	766306
Gaesischia patellicornis	(Ducke, 1911)	766307
Gaesischia phaeoptera	(Moure & Michener, 1955)	766308
Gaesischia pygmaea	Urban, 1968	766309
Gaesischia rosadoi	Urban, 1989	766310
Gaesischia saltae	(Michener & Moure, 1956)	766311
Gaesischia sapucacensis	(Cockerell, 1918)	766312
Gaesischia similis	Urban, 1989	766313
Gaesischia sparsa	(Brèthes, 1910)	766314
Gaesischia trifasciata	Urban, 1968	766315
Gaesischia undulata	Urban, 1989	766316
Gaesochira obscurior	(Dalla Torre, 1896)	766317
Hamatothrix silvai	Urban, 1989	766318
Lophothygater aculeata	Urban, 1999	766319
Lophothygater decorata	(Smith, 1879)	766320
Lophothygater nigrita	Urban, 1999	766321
Martinapis bipunctata	(Friese, 1908)	766322
Martinapis luteicornis	(Cockerell, 1896)	699279
Martinapis occidentalis	Zavortink & LaBerge, 1976	699280
Melissodes ablusa	Cockerell, 1926	766324
Melissodes agilis	Cresson, 1878	699288
Melissodes apicata	Lovell & Cockerell, 1906	699289
Melissodes appressa	LaBerge, 1961	699290
Melissodes baileyi	Cockerell, 1906	699291
Melissodes bicolorata	LaBerge, 1961	699292
Melissodes bidentis	Cockerell, 1914	699293
Melissodes bimaculata	(Lepeletier, 1825)	699294
Melissodes bimatris	LaBerge, 1961	699295
Melissodes blanda	LaBerge, 1956	699296
Melissodes boltoniae	Robertson, 1905	699297
Melissodes brevipyga	LaBerge, 1961	699298
Melissodes bruneri	(Cockerell, 1918)	766326
Melissodes cerussata	LaBerge, 1961	699299
Melissodes cestus	Krombein, 1953	699300
Melissodes clarkiae	LaBerge, 1961	699301
Melissodes colliciata	Cockerell, 1910	699302
Melissodes coloradensis	Cresson, 1878	699303
Melissodes comata	LaBerge, 1961	699304
Melissodes communis	Cresson, 1878	699305
Melissodes composita	Tucker, 1909	766327
Melissodes comptoides	Robertson, 1898	699307
Melissodes confusa	Cresson, 1878	699308
Melissodes coreopsis	Robertson, 1905	699309
Melissodes crocina	LaBerge, 1961	699310
Melissodes cubensis	LaBerge, 1956	699311
Melissodes dagosa	Cockerell, 1909	699312
Melissodes denticulata	Smith, 1854	699313
Melissodes dentiventris	Smith, 1854	699314
Melissodes desponsa	Smith, 1854	699315
Melissodes druriella	(Kirby, 1802)	699316
Melissodes ecuadoria	Bertoni & Schrottky, 1910	766328
Melissodes elegans	LaBerge, 1961	699317
Melissodes exilis	LaBerge, 1961	699318
Melissodes expolita	LaBerge, 1961	699319
Melissodes fasciatella	LaBerge, 1961	699320
Melissodes fimbriata	Cresson, 1878	699321
Melissodes flexa	LaBerge, 1956	699322
Melissodes floris	Cockerell, 1896	699323
Melissodes foxi	Crawford, 1915	699324
Melissodes fumosa	LaBerge, 1961	699325
Melissodes gelida	LaBerge, 1961	699326
Melissodes gilensis	Cockerell, 1896	699327
Melissodes glenwoodensis	Cockerell, 1905	699328
Melissodes grindeliae	Cockerell, 1898	699329
Melissodes haitiensis	LaBerge, 1961	699330
Melissodes humilior	Cockerell, 1903	699331
Melissodes hurdi	LaBerge, 1961	699332
Melissodes hymenoxidis	Cockerell, 1906	699333
Melissodes illata	Lovell & Cockerell, 1906	699334
Melissodes interrupta	LaBerge, 1961	699336
Melissodes intorta	Cresson, 1872	766330
Melissodes labiatarum	Cockerell, 1896	699338
Melissodes leprieuri	Blanchard, 1849	699339
Melissodes limbus	LaBerge, 1961	699340
Melissodes lupina	Cresson, 1878	766331
Melissodes lustra	LaBerge, 1961	766332
Melissodes lutulenta	LaBerge, 1961	699343
Melissodes maesta	LaBerge, 1956	699344
Melissodes manipularis	Smith, 1854	699345
Melissodes martinicensis	Cockerell, 1917	699346
Melissodes melanura	(Cockerell, 1916)	699347
Melissodes menuachus	Cresson, 1868	699348
Melissodes metenua	Cockerell, 1924	766333
Melissodes micheneri	LaBerge, 1961	699350
Melissodes microsticta	Cockerell, 1905	699351
Melissodes mimica	Cresson, 1869	766334
Melissodes minuscula	LaBerge, 1961	766335
Melissodes mitchelli	LaBerge, 1956	699353
Melissodes monoensis	LaBerge, 1961	699354
Melissodes montana	Cresson, 1878	699355
Melissodes moorei	Cockerell, 1926	699356
Melissodes morrilli	Cockerell, 1918	699357
Melissodes negligenda	Cockerell, 1949	699358
Melissodes nigracauda	LaBerge, 1961	699359
Melissodes nigroaenea	(Smith, 1854)	766336
Melissodes nivea	Robertson, 1895	699360
Melissodes ochraea	LaBerge, 1961	699361
Melissodes opuntiella	Cockerell, 1911	699362
Melissodes pallidisignata	Cockerell, 1905	699363
Melissodes panamensis	Cockerell, 1928	699364
Melissodes paroselae	Cockerell, 1905	699365
Melissodes paucipuncta	LaBerge, 1961	699366
Melissodes paulula	LaBerge, 1961	699367
Melissodes perlusa	Cockerell, 1925	699368
Melissodes perpolita	LaBerge, 1961	699369
Melissodes persimilis	Cockerell, 1949	699370
Melissodes personatella	Cockerell, 1901	699371
Melissodes pexa	LaBerge, 1961	699372
Melissodes pilleata	LaBerge, 1961	699373
Melissodes plumosa	LaBerge, 1961	766339
Melissodes pullata	Cresson, 1865	699375
Melissodes pullatella	LaBerge, 1961	699376
Melissodes raphaelis	Cockerell, 1898	699377
Melissodes relucens	LaBerge, 1961	699378
Melissodes rivalis	Cresson, 1872	699379
Melissodes robustior	Cockerell, 1915	699380
Melissodes rufipes	LaBerge, 1961	699381
Melissodes rufodentata	Smith, 1854	699382
Melissodes saponellus	Cockerell, 1908	699383
Melissodes scotti	Cockerell, 1939	699384
Melissodes semilupina	Cockerell, 1905	699385
Melissodes sexcincta	(Lepeletier, 1841)	766340
Melissodes snowii	Cresson, 1878	699386
Melissodes sonorensis	LaBerge, 1963	699387
Melissodes sphaeralceae	Cockerell, 1896	699388
Melissodes stearnsi	Cockerell, 1905	699389
Melissodes subagilis	Cockerell, 1905	699390
Melissodes subillata	LaBerge, 1961	699391
Melissodes submenuacha	Cockerell, 1897	699392
Melissodes tepaneca	Cresson, 1878	699393
Melissodes tepida	Cresson, 1878	699394
Melissodes terminata	LaBerge, 1961	699395
Melissodes tescorum	LaBerge, 1963	699396
Melissodes tessellata	LaBerge, 1956	699397
Melissodes thelypodii	Cockerell, 1905	699398
Melissodes tibialis	(Fabricius, 1804)	766341
Melissodes tincta	LaBerge, 1961	699399
Melissodes tintinnans	(Holmberg, 1884)	766342
Melissodes tribas	LaBerge, 1961	699400
Melissodes trifasciata	Cresson, 1878	699401
Melissodes trinodis	Robertson, 1901	699402
Melissodes tristis	Cockerell, 1894	699403
Melissodes tuckeri	Cockerell, 1909	699404
Melissodes utahensis	LaBerge, 1961	699405
Melissodes velutina	(Cockerell, 1916)	699406
Melissodes verbesinarum	Cockerell, 1905	699407
Melissodes vernalis	LaBerge, 1961	699408
Melissodes vernoniae	Robertson, 1902	699409
Melissodes wheeleri	Cockerell, 1906	699410
Melissoptila albinoi	Urban, 1998	766343
Melissoptila aliceae	Urban, 1998	766344
Melissoptila amazonica	Urban, 1998	766345
Melissoptila argentina	Brèthes, 1910	766346
Melissoptila aurea	Urban, 1998	766347
Melissoptila aureocincta	Urban, 1968	766348
Melissoptila bahiana	Urban, 1998	766349
Melissoptila boliviana	Urban, 1998	766350
Melissoptila bonaerensis	Holmberg, 1903	766351
Melissoptila buzzii	Urban, 1998	766352
Melissoptila cacerensis	Urban, 1998	766353
Melissoptila carinata	Urban, 1998	766354
Melissoptila catamarcensis	Urban, 1998	766355
Melissoptila chilena	Urban, 1998	766356
Melissoptila claudii	Urban, 1988	766357
Melissoptila clypeata	Urban, 1998	766358
Melissoptila cnecomala	(Moure, 1944)	766359
Melissoptila dama	(Vachal, 1904)	766360
Melissoptila desiderata	(Holmberg, 1903)	766361
Melissoptila ecuatoriana	Urban, 1998	766362
Melissoptila fiebrigi	Brèthes, 1909	766363
Melissoptila flaviventris	(Friese, 1908)	767866
Melissoptila fulvonigra	Urban, 1988	766364
Melissoptila grafi	Urban, 1998	766365
Melissoptila hirsutula	Urban, 1998	766366
Melissoptila inducens	Brèthes, 1910	766367
Melissoptila larocai	Urban, 1998	766368
Melissoptila marinonii	Urban, 1998	766369
Melissoptila micheneri	Genaro, 2001	699411
Melissoptila mielkei	Urban, 1998	766370
Melissoptila minarum	(Bertoni & Schrottky, 1910)	766371
Melissoptila mirnae	Urban, 1998	766372
Melissoptila montanicola	Urban, 1998	766373
Melissoptila moureana	Urban, 1998	766374
Melissoptila ochromelaena	(Moure, 1943)	766375
Melissoptila ornata	Urban, 1998	766376
Melissoptila otomita	(Cresson, 1878)	699412
Melissoptila pacifica	(Cockerell, 1914)	766377
Melissoptila paraguayensis	(Brèthes, 1909)	766378
Melissoptila paranaensis	Urban, 1998	766379
Melissoptila plumata	Urban, 1998	766380
Melissoptila pubescens	(Smith, 1879)	766381
Melissoptila renatoi	Urban, 1998	766382
Melissoptila richardiae	Bertoni & Schrottky, 1910	766383
Melissoptila sertanicola	Urban, 1998	766384
Melissoptila setigera	Urban, 1998	766385
Melissoptila sexcincta	Urban, 1998	766386
Melissoptila similis	Urban, 1988	766387
Melissoptila solangeae	Urban, 1998	766388
Melissoptila tandilensis	Holmberg, 1884	766389
Melissoptila thoracica	(Smith, 1854)	766390
Melissoptila trifasciata	Urban, 1998	766391
Melissoptila uncicornis	(Ducke, 1911)	766392
Melissoptila villosa	Urban, 1998	766393
Melissoptila vulpecula	Bertoni & Schrottky, 1910	766394
Micronychapis duckei	(Friese, 1908)	766395
Mirnapis inca	Urban, 1998	766396
Notolonia astragali	Popov, 1962	766397
Pachysvastra flavofasciata	Urban, 1999	766398
Pachysvastra leucocephala	(Bertoni & Schrottky, 1910)	766399
Peponapis apiculata	(Cresson, 1878)	699460
Peponapis atrata	(Smith, 1879)	699461
Peponapis azteca	Hurd & Linsley, 1966	699462
Peponapis citrullina	(Cockerell, 1912)	766400
Peponapis crassidentata	(Cockerell, 1949)	699463
Peponapis fervens	(Smith, 1879)	766401
Peponapis limitaris	(Cockerell, 1906)	699464
Peponapis melonis	(Friese, 1925)	766402
Peponapis michelbacherorum	Hurd & Linsley, 1964	699465
Peponapis pruinosa	(Say, 1837)	699466
Peponapis smithi	Hurd & Linsley, 1966	699467
Peponapis timberlakei	Hurd & Linsley, 1964	699468
Peponapis utahensis	(Cockerell, 1905)	699469
Platysvastra macraspis	Moure, 1967	766403
Santiago mourei	Urban, 1989	766404
Santiago wittmanni	Urban, 2003	766405
Simanthedon linsleyi	Zavortink, 1975	699474
Svastra aegis	(LaBerge, 1956)	699475
Svastra albocollaris	(Cockerell, 1918)	699476
Svastra atripes	(Cresson, 1872)	699477
Svastra comanche	(Cresson, 1872)	699478
Svastra compta	(Cresson, 1878)	699479
Svastra cressonii	(Dalla Torre, 1896)	699480
Svastra detecta	Holmberg, 1884	766406
Svastra duplocincta	(Cockerell, 1905)	699481
Svastra flavitarsis	(Spinola, 1851)	766407
Svastra friesei	LaBerge, 1958	699482
Svastra grandissima	(Cockerell, 1905)	699483
Svastra helianthelli	(Cockerell, 1905)	699484
Svastra machaerantherae	(Cockerell, 1904)	699485
Svastra maculata	Urban, 1998	766408
Svastra minima	(LaBerge, 1956)	699486
Svastra nevadensis	(Cresson, 1874)	699487
Svastra nitida	(LaBerge, 1956)	699488
Svastra obliqua	(Say, 1837)	699489
Svastra pallidior	LaBerge, 1963	699490
Svastra petulca	(Cresson, 1878)	699491
Svastra sabinensis	(Cockerell, 1924)	699492
Svastra sila	(LaBerge, 1956)	699493
Svastra texana	(Cresson, 1872)	699494
Svastrides bauni	(Jörgensen, 1912)	766409
Svastrides melanura	(Spinola, 1851)	766410
Svastrides neffi	Urban, 1975	766411
Svastrides orellanae	(Ruiz, 1935)	766412
Svastrides zebra	(Friese, 1908)	766413
Svastrina subapicalis	(Brèthes, 1910)	766414
Syntrichalonia exquisita	(Cresson, 1878)	699495
Syntrichalonia fuliginea	LaBerge, 1994	699496
Tetralonia albida	(Lepeletier, 1841)	766415
Tetralonia boharti	(Eardley, 1989)	766416
Tetralonia caudata	Friese, 1905	766417
Tetralonia cinctella	(Saunders, 1908)	766418
Tetralonia cinctula	Cockerell, 1936	766419
Tetralonia coangustata	Dours, 1873	766420
Tetralonia commixtana	Strand, 1913	766422
Tetralonia desertorum	Morawitz, 1875	766423
Tetralonia fraterna	Friese, 1911	766425
Tetralonia fuliginosa	Morawitz, 1886	766426
Tetralonia fulvicornis	Morawitz, 1895	766427
Tetralonia fumida	(Cockerell, 1911)	766428
Tetralonia fuscipes	Morawitz, 1894	766429
Tetralonia glauca	(Fabricius, 1775)	766430
Tetralonia gossypii	Cockerell, 1931	766431
Tetralonia iberica	Dusmet y Alonso, 1926	766432
Tetralonia labrosa	Friese, 1911	766434
Tetralonia macroceps	Engel & Baker, 2006	766435
Tetralonia macrognatha	(Gerstäcker, 1870)	766436
Tetralonia malvae	(Rossi, 1790)	766437
Tetralonia mesotes	(Eardley, 1989)	766438
Tetralonia mitsukurii	Cockerell, 1911	766439
Tetralonia nigropilosa	Friese, 1911	766440
Tetralonia obscuriceps	Friese, 1916	766441
Tetralonia obscuripes	Friese, 1905	766442
Tetralonia okinawae	Friese, 1909	766443
Tetralonia paulyi	(Eardley, 1989)	766444
Tetralonia penicillata	(Friese, 1905)	766445
Tetralonia pollinosa	(Lepeletier, 1841)	766446
Tetralonia polychroma	Cockerell, 1930	766447
Tetralonia rufa	(Lepeletier, 1841)	766575
Tetralonia ruficollis	(Friese, 1911)	766448
Tetralonia siamensis	Cockerell, 1929	766450
Tetralonia subaurata	Dours, 1873	766452
Tetralonia taprobanicola	Strand, 1913	766453
Tetralonia testacea	Smith, 1854	766580
Tetralonia trichardti	Cockerell, 1933	766454
Tetralonia vestita	Morawitz, 1875	766455
Tetralonia vicina	Morawitz, 1876	766456
Tetralonia wickwari	(Bingham, 1908)	766457
Tetraloniella abessinica	(Friese, 1915)	766458
Tetraloniella abrochia	Eardley, 1989	766459
Tetraloniella albata	(Cresson, 1872)	699497
Tetraloniella alboscopacea	(Friese, 1909)	766460
Tetraloniella alticincta	(Lepeletier, 1841)	766461
Tetraloniella apicalis	(Friese, 1905)	766462
Tetraloniella arizonica	(Cockerell, 1937)	699498
Tetraloniella ataxia	Eardley, 1989	766463
Tetraloniella aurantiflava	Eardley, 1989	766464
Tetraloniella auricauda	(LaBerge, 1970)	699499
Tetraloniella ayala	LaBerge, 2001	699500
Tetraloniella balluca	LaBerge, 2001	699501
Tetraloniella bottandieri	(Alfken, 1914)	766465
Tetraloniella braunsiana	(Friese, 1905)	766466
Tetraloniella brevifellator	(LaBerge, 1957)	699502
Tetraloniella brevikeraia	Eardley, 1989	766584
Tetraloniella brevipennis	(Cameron, 1898)	766467
Tetraloniella brooksi	Eardley, 1989	766468
Tetraloniella cacuminis	LaBerge, 2001	699503
Tetraloniella capensis	(Lepeletier, 1841)	766469
